trial_id,condition,creation_latency_ms,simulated_leak_time_s,exposure_window_s,cpu_delta,mem_delta_kb,real_lifetime_s
A01,A,331.1,7.950,0.000,40.0,616,0.871
B01,B,362.1,2.321,8.120,20.0,-1224,10.441
C01,C,378.5,7.914,2.567,50.0,24,10.481
A02,A,337.2,0.876,0.102,30.0,224,0.978
B02,B,328.9,8.485,2.029,40.0,-1000,10.514
C02,C,490.1,0.521,9.996,50.0,124,10.517
A03,A,322.8,2.847,0.000,30.0,4,0.956
B03,B,332.0,6.261,4.270,60.0,72,10.531
C03,C,305.7,5.046,5.386,30.0,-560,10.432
A04,A,348.2,9.066,0.000,40.0,308,1.007
B04,B,302.4,0.506,9.894,70.0,868,10.400
C04,C,270.1,6.283,4.196,30.0,-768,10.479
A05,A,315.4,1.911,0.000,30.0,12,0.972
B05,B,380.2,6.175,4.293,40.0,244,10.468
C05,C,338.3,9.058,1.385,40.0,-584,10.443
A06,A,341.6,6.337,0.000,40.0,268,0.927
B06,B,329.2,0.944,9.526,30.0,312,10.470
C06,C,336.0,1.329,9.113,30.0,-860,10.442
A07,A,326.0,8.206,0.000,30.0,292,0.952
B07,B,325.0,7.299,3.221,30.0,-512,10.520
C07,C,328.6,4.169,6.386,40.0,248,10.555
A08,A,331.2,1.565,0.000,40.0,4,0.953
B08,B,336.3,5.290,5.254,40.0,220,10.544
C08,C,351.8,8.191,2.293,30.0,-472,10.484
A09,A,370.4,7.075,0.000,50.0,804,0.904
B09,B,328.8,4.965,5.453,30.0,-492,10.418
C09,C,328.2,2.990,7.477,30.0,-364,10.467
A10,A,336.1,8.132,0.000,40.0,468,0.912
B10,B,319.4,3.944,6.504,20.0,-828,10.448
C10,C,331.1,3.545,6.957,40.0,52,10.502
A11,A,357.6,3.739,0.000,40.0,32,0.938
B11,B,324.6,1.561,8.976,30.0,-84,10.537
C11,C,431.3,9.568,0.915,30.0,-584,10.483
A12,A,314.9,9.839,0.000,40.0,276,0.983
B12,B,311.8,2.209,8.200,30.0,-712,10.409
C12,C,349.1,1.773,8.656,30.0,-1280,10.429
A13,A,338.9,4.662,0.000,40.0,304,0.958
B13,B,327.4,8.019,2.476,20.0,-364,10.495
C13,C,303.2,1.764,8.708,30.0,72,10.472
A14,A,334.1,9.349,0.000,40.0,4,0.971
B14,B,414.3,7.318,3.098,30.0,-108,10.416
C14,C,332.5,9.190,1.442,30.0,-5688,10.632
A15,A,349.3,4.822,0.000,40.0,48,0.822
B15,B,458.7,8.782,1.754,30.0,68,10.536
C15,C,334.7,3.623,6.923,30.0,344,10.546
A16,A,341.6,8.809,0.000,30.0,16,0.950
B16,B,342.7,3.862,6.719,30.0,-800,10.581
C16,C,449.4,5.226,5.404,30.0,-564,10.630
A17,A,491.2,5.835,0.000,30.0,200,0.933
B17,B,326.9,5.068,5.412,20.0,-532,10.480
C17,C,389.2,8.464,1.977,30.0,-184,10.441
A18,A,343.6,1.988,0.000,30.0,344,0.917
B18,B,330.0,4.041,6.397,40.0,-324,10.438
C18,C,308.2,1.968,8.518,30.0,-660,10.486
A19,A,332.4,0.889,0.016,20.0,0,0.905
B19,B,324.1,7.955,2.494,30.0,0,10.449
C19,C,294.0,0.552,9.871,40.0,284,10.423
A20,A,326.2,0.782,0.159,30.0,0,0.941
B20,B,325.0,7.022,3.365,40.0,-172,10.387
C20,C,309.6,2.671,7.723,20.0,-640,10.394
