condition,metric,n,mean,median,stdev,ci95_halfwidth,ci95_low,ci95_high
A,creation_latency_ms,20,344.490,336.650,37.031,17.331,327.159,361.821
A,exposure_window_s,20,0.014,0.000,0.041,0.019,-0.005,0.033
A,cpu_delta,20,35.500,40.000,6.863,3.212,32.288,38.712
A,mem_delta_kb,20,211.200,212.000,227.760,106.594,104.606,317.794
B,creation_latency_ms,20,341.490,328.850,37.080,17.354,324.136,358.844
B,exposure_window_s,20,5.373,5.333,2.591,1.213,4.160,6.585
B,cpu_delta,20,34.000,30.000,12.732,5.959,28.041,39.959
B,mem_delta_kb,20,-268.400,-248.000,509.461,238.432,-506.832,-29.968
C,creation_latency_ms,20,347.980,333.600,55.062,25.770,322.210,373.750
C,exposure_window_s,20,5.795,6.655,3.088,1.445,4.349,7.240
C,cpu_delta,20,33.500,30.000,7.452,3.487,30.013,36.987
C,mem_delta_kb,20,-603.000,-516.000,1274.888,596.659,-1199.659,-6.341
