trial_id,condition,sent_mbps,received_mbps
TA01,A_otnt,1254.10,1253.59
TB01,B_vanilla,1212.82,1212.34
TA02,A_otnt,1258.77,1258.31
TB02,B_vanilla,1260.89,1260.35
TA03,A_otnt,1230.05,1229.70
TB03,B_vanilla,1250.15,1249.72
TA04,A_otnt,1264.90,1264.42
TB04,B_vanilla,1263.15,1262.74
TA05,A_otnt,1213.21,1212.77
TB05,B_vanilla,1240.78,1240.45
TA06,A_otnt,1258.47,1257.97
TB06,B_vanilla,1200.00,1199.54
TA07,A_otnt,1255.06,1254.51
TB07,B_vanilla,1239.85,1239.32
TA08,A_otnt,1251.45,1251.11
TB08,B_vanilla,1252.59,1252.11
TA09,A_otnt,1250.87,1250.38
TB09,B_vanilla,1159.52,1159.12
TA10,A_otnt,1262.34,1261.94
TB10,B_vanilla,1230.74,1230.53
