trial_id,target_expiry_s,expected_fire_time_ms,actual_fire_time_ms,delta_ms,iface_gone_time_ms,teardown_to_audit_latency_ms
E01,5,1788877836293,1788877837046,753,1788877836647,399
E02,10,1788877861810,1788877862793,983,1788877862569,224
E03,15,1788877887312,1788877888068,756,1788877887842,226
E04,20,1788877912821,1788877913604,783,1788877913358,246
E05,5,1788877919602,1788877920223,621,1788877919931,292
E06,10,1788877945106,1788877945937,831,1788877945643,294
E07,15,1788877970610,1788877971397,787,1788877971110,287
E08,20,1788877996117,1788877996645,528,1788877996502,143
E09,5,1788878002198,1788878002702,504,1788878002464,238
E10,10,1788878027707,1788878028304,597,1788878028068,236
E11,15,1788878053208,1788878053782,574,1788878053578,204
E12,20,1788878078711,1788878079278,567,1788878079086,192
E13,5,1788878084744,1788878085232,488,1788878085035,197
E14,10,1788878110260,1788878110957,697,1788878110743,214
E15,15,1788878135761,1788878136437,676,1788878136178,259
E16,20,1788878161271,1788878161995,724,1788878161776,219
E17,5,1788878167664,1788878168156,492,1788878167935,221
E18,10,1788878193227,1788878193810,583,1788878193568,242
E19,15,1788878218735,1788878219285,550,1788878219058,227
E20,20,1788878244240,1788878244871,631,1788878244645,226
E21,5,1788878250554,1788878251034,480,1788878250850,184
E22,10,1788878276062,1788878276610,548,1788878276388,222
E23,15,1788878301564,1788878302103,539,1788878301868,235
E24,20,1788878327067,1788878327646,579,1788878327403,243
E25,5,1788878333479,1788878334027,548,1788878333806,221
E26,10,1788878358986,1788878359551,565,1788878359349,202
E27,15,1788878384491,1788878385181,690,1788878384894,287
E28,20,1788878409995,1788878410559,564,1788878410279,280
E29,5,1788878416331,1788878416884,553,1788878416638,246
E30,10,1788878441840,1788878442474,634,1788878442178,296
