trial_id,tier,tc_rate_mbit,cap_bytes,bytes_at_teardown,overshoot_bytes,overshoot_pct,measured_throughput_mbps,iface_gone_time_ms,actual_fire_time_ms,teardown_to_audit_latency_ms,sample_count
D01,LOW,2,300000,357288,57288,19.10,1.704,1788879659253,1788879659562,309,15
D02,LOW,2,300000,322784,22784,7.59,1.893,1788879679231,1788879679431,200,15
D03,LOW,2,300000,329808,29808,9.94,1.886,1788879699410,1788879699627,217,15
D04,LOW,2,300000,344680,44680,14.89,1.861,1788879719699,1788879719820,121,19
D05,LOW,2,300000,352340,52340,17.45,1.897,1788879740163,1788879740361,198,17
D06,LOW,2,300000,352772,52772,17.59,1.974,1788879760792,1788879761045,253,18
D07,LOW,2,300000,345368,45368,15.12,1.837,1788879781161,1788879781297,136,17
D08,MEDIUM,8,300000,333428,33428,11.14,6.474,1788879800870,1788879801115,245,5
D09,MEDIUM,8,300000,570716,270716,90.24,6.724,1788879821664,1788879821862,198,8
D10,MEDIUM,8,300000,486812,186812,62.27,5.865,1788879842326,1788879842480,154,7
D11,MEDIUM,8,300000,582812,282812,94.27,6.689,1788879862678,1788879863002,324,7
D12,MEDIUM,8,300000,472880,172880,57.63,6.092,1788879882963,1788879883259,296,5
D13,MEDIUM,8,300000,539552,239552,79.85,6.862,1788879903710,1788879903917,207,8
D14,MEDIUM,8,300000,555620,255620,85.21,6.902,1788879924077,1788879924263,186,6
D15,HIGH,,300000,1128928,828928,276.31,38.107,1788879943931,1788879944112,181,2
D16,HIGH,,300000,1126432,826432,275.48,40.410,1788879964686,1788879964890,204,1
D17,HIGH,,300000,1127148,827148,275.72,22.828,1788879985141,1788879985355,214,4
D18,HIGH,,300000,1127200,827200,275.73,40.804,1788880005584,1788880005804,220,2
D19,HIGH,,300000,1127740,827740,275.91,44.009,1788880026038,1788880026235,197,2
D20,HIGH,,300000,1127296,827296,275.77,43.778,1788880046625,1788880046970,345,2
