trial_id,trigger_type,teardown_to_audit_latency_ms
E01,time,399
E02,time,224
E03,time,226
E04,time,246
E05,time,292
E06,time,294
E07,time,287
E08,time,143
E09,time,238
E10,time,236
E11,time,204
E12,time,192
E13,time,197
E14,time,214
E15,time,259
E16,time,219
E17,time,221
E18,time,242
E19,time,227
E20,time,226
E21,time,184
E22,time,222
E23,time,235
E24,time,243
E25,time,221
E26,time,202
E27,time,287
E28,time,280
E29,time,246
E30,time,296
D01,datacap,309
D02,datacap,200
D03,datacap,217
D04,datacap,121
D05,datacap,198
D06,datacap,253
D07,datacap,136
D08,datacap,245
D09,datacap,198
D10,datacap,154
D11,datacap,324
D12,datacap,296
D13,datacap,207
D14,datacap,186
D15,datacap,181
D16,datacap,204
D17,datacap,214
D18,datacap,220
D19,datacap,197
D20,datacap,345
